municipality_name,age_gr,sex,pop
Švenčionių r. sav.,30–34,Vyras,776
Švenčionių r. sav.,30–34,Moteris,594
Švenčionių r. sav.,35–39,Vyras,680
Švenčionių r. sav.,35–39,Moteris,612
Švenčionių r. sav.,40–44,Vyras,676
Švenčionių r. sav.,40–44,Moteris,644
Švenčionių r. sav.,45–49,Vyras,791
Švenčionių r. sav.,45–49,Moteris,823
Švenčionių r. sav.,50–54,Vyras,889
Švenčionių r. sav.,50–54,Moteris,940
Švenčionių r. sav.,55–59,Vyras,891
Švenčionių r. sav.,55–59,Moteris,991
Švenčionių r. sav.,60–64,Vyras,900
Švenčionių r. sav.,60–64,Moteris,1031
Švenčionių r. sav.,65–69,Vyras,581
Švenčionių r. sav.,65–69,Moteris,816
Švenčionių r. sav.,70–74,Vyras,474
Švenčionių r. sav.,70–74,Moteris,816
Švenčionių r. sav.,75–79,Vyras,322
Švenčionių r. sav.,75–79,Moteris,576
Švenčionių r. sav.,80–84,Vyras,214
Švenčionių r. sav.,80–84,Moteris,555
Švenčionių r. sav.,85 ir vyresni,Vyras,161
Švenčionių r. sav.,85 ir vyresni,Moteris,588
Trakų r. sav.,0–4,Vyras,795
Trakų r. sav.,0–4,Moteris,711
Trakų r. sav.,5–9,Vyras,909
Trakų r. sav.,5–9,Moteris,799
Trakų r. sav.,10–14,Vyras,898
Trakų r. sav.,10–14,Moteris,800
Trakų r. sav.,15–19,Vyras,785
Trakų r. sav.,15–19,Moteris,712
Trakų r. sav.,20–24,Vyras,864
Trakų r. sav.,20–24,Moteris,809
Trakų r. sav.,25–29,Vyras,991
Trakų r. sav.,25–29,Moteris,931
Trakų r. sav.,30–34,Vyras,1287
Trakų r. sav.,30–34,Moteris,1140
Trakų r. sav.,35–39,Vyras,1258
Trakų r. sav.,35–39,Moteris,1105
Trakų r. sav.,40–44,Vyras,1072
Trakų r. sav.,40–44,Moteris,1109
Trakų r. sav.,45–49,Vyras,1142
Trakų r. sav.,45–49,Moteris,1131
Trakų r. sav.,50–54,Vyras,1146
Trakų r. sav.,50–54,Moteris,1264
Trakų r. sav.,55–59,Vyras,1262
Trakų r. sav.,55–59,Moteris,1327
Trakų r. sav.,60–64,Vyras,1064
Trakų r. sav.,60–64,Moteris,1310
Trakų r. sav.,65–69,Vyras,743
Trakų r. sav.,65–69,Moteris,1008
Trakų r. sav.,70–74,Vyras,539
Trakų r. sav.,70–74,Moteris,869
Trakų r. sav.,75–79,Vyras,336
Trakų r. sav.,75–79,Moteris,636
Trakų r. sav.,80–84,Vyras,203
Trakų r. sav.,80–84,Moteris,613
Trakų r. sav.,85 ir vyresni,Vyras,172
Trakų r. sav.,85 ir vyresni,Moteris,582
Ukmergės r. sav.,0–4,Vyras,680
Ukmergės r. sav.,0–4,Moteris,605
Ukmergės r. sav.,5–9,Vyras,760
Ukmergės r. sav.,5–9,Moteris,742
Ukmergės r. sav.,10–14,Vyras,759
Ukmergės r. sav.,10–14,Moteris,794
Ukmergės r. sav.,15–19,Vyras,806
Ukmergės r. sav.,15–19,Moteris,694
Ukmergės r. sav.,20–24,Vyras,927
Ukmergės r. sav.,20–24,Moteris,835
Ukmergės r. sav.,25–29,Vyras,982
Ukmergės r. sav.,25–29,Moteris,894
Ukmergės r. sav.,30–34,Vyras,1180
Ukmergės r. sav.,30–34,Moteris,1010
Ukmergės r. sav.,35–39,Vyras,979
Ukmergės r. sav.,35–39,Moteris,912
Ukmergės r. sav.,40–44,Vyras,928
Ukmergės r. sav.,40–44,Moteris,893
Ukmergės r. sav.,45–49,Vyras,1078
Ukmergės r. sav.,45–49,Moteris,1171
Ukmergės r. sav.,50–54,Vyras,1392
Ukmergės r. sav.,50–54,Moteris,1455
Ukmergės r. sav.,55–59,Vyras,1361
Ukmergės r. sav.,55–59,Moteris,1563
Ukmergės r. sav.,60–64,Vyras,1293
Ukmergės r. sav.,60–64,Moteris,1556
Ukmergės r. sav.,65–69,Vyras,852
Ukmergės r. sav.,65–69,Moteris,1103
Ukmergės r. sav.,70–74,Vyras,659
Ukmergės r. sav.,70–74,Moteris,1181
Ukmergės r. sav.,75–79,Vyras,497
Ukmergės r. sav.,75–79,Moteris,1072
Ukmergės r. sav.,80–84,Vyras,358
Ukmergės r. sav.,80–84,Moteris,907
Ukmergės r. sav.,85 ir vyresni,Vyras,274
Ukmergės r. sav.,85 ir vyresni,Moteris,876
Vilniaus m. sav.,0–4,Vyras,16921
